#
# * Generated by profiles_gen on Wed Nov 14 16:29:07 PST 2012
#
#           INPUT FILE : D3D_iterdb_kinefit_128913.01500
#          SHOT NUMBER : 128913
#    RADIAL GRIDPOINTS :  51
#               Q_EDGE :  1.03E+01
#
#                 IONS :  d c
# 
#         SIGN(PSI_POL): +
# 
# * An associated input.profiles.geo was also generated
#
#             NFOURIER :      8
#            GATO NPSI :    101
#          GATO NTHETA :    201
#            EFIT HEADER ... 
#
#   EFIT?   05/12/98      #128913  1500             3  65  65          
#
# Psi-shrinkage factor : -1.00E-04
# * Additional information:
#
#      MERGED CER FILE : dplasma_cer_format.128913.1500
#  PLASMA MAJOR RADIUS : 1.66E+00 m
#  PLASMA MINOR RADIUS : 5.99E-01 m
#
# 
N_EXP=51
BT_EXP=+2.0657000E+00
ARHO_EXP=7.7241000E-01
# 
#rho(-)          rmin(m)         rmaj(m)         q(-)            kappa(-)        
 1.9210000E+00   2.3242000E-02   0.0000000E+00   0.0000000E+00   0.0000000E+00
 1.8830000E+00   2.2982000E-02   0.0000000E+00   0.0000000E+00   0.0000000E+00
 1.8473000E+00   2.2710000E-02   0.0000000E+00   0.0000000E+00   0.0000000E+00
 1.8135000E+00   2.2425000E-02   0.0000000E+00   0.0000000E+00   0.0000000E+00
 1.7813000E+00   2.2126000E-02   0.0000000E+00   0.0000000E+00   0.0000000E+00
 1.7504000E+00   2.1814000E-02   0.0000000E+00   0.0000000E+00   0.0000000E+00
 1.7208000E+00   2.1488000E-02   0.0000000E+00   0.0000000E+00   0.0000000E+00
 1.6923000E+00   2.1148000E-02   0.0000000E+00   0.0000000E+00   0.0000000E+00
 1.6647000E+00   2.0794000E-02   0.0000000E+00   0.0000000E+00   0.0000000E+00
 1.6380000E+00   2.0427000E-02   0.0000000E+00   0.0000000E+00   0.0000000E+00
 1.6119000E+00   2.0045000E-02   0.0000000E+00   0.0000000E+00   0.0000000E+00
 1.5863000E+00   1.9648000E-02   0.0000000E+00   0.0000000E+00   0.0000000E+00
 1.5610000E+00   1.9237000E-02   0.0000000E+00   0.0000000E+00   0.0000000E+00
 1.5357000E+00   1.8811000E-02   0.0000000E+00   0.0000000E+00   0.0000000E+00
 1.5102000E+00   1.8365000E-02   0.0000000E+00   0.0000000E+00   0.0000000E+00
 1.4841000E+00   1.7887000E-02   0.0000000E+00   0.0000000E+00   0.0000000E+00
 1.4574000E+00   1.7369000E-02   0.0000000E+00   0.0000000E+00   0.0000000E+00
 1.4296000E+00   1.6800000E-02   0.0000000E+00   0.0000000E+00   0.0000000E+00
 1.4007000E+00   1.6168000E-02   0.0000000E+00   0.0000000E+00   0.0000000E+00
